Minute,Player,Squad,Outcome,Distance,Body Part,Notes,SCA 1 Player,SCA 1 Event,SCA 2 Player,SCA 2 Event,date
13,Mason Greenwood,Manchester Utd,Saved,22.0,Left Foot,,Bruno Fernandes,Pass (Live),Mason Greenwood,Pass (Live),2021-10-16
17,Paul Pogba,Manchester Utd,Off Target,5.0,Head,,Bruno Fernandes,Pass (Dead),,,2021-10-16
19,Mason Greenwood,Manchester Utd,Goal,27.0,Left Foot,,Bruno Fernandes,Pass (Live),Mason Greenwood,Pass (Live),2021-10-16
21,Timothy Castagne,Leicester City,Blocked,17.0,Right Foot,,Jamie Vardy,Pass (Live),Timothy Castagne,Pass (Live),2021-10-16
21,Kelechi Iheanacho,Leicester City,Blocked,17.0,Left Foot,,,,,,2021-10-16
21,Jamie Vardy,Leicester City,Saved,26.0,Right Foot,,Kelechi Iheanacho,Shot,,,2021-10-16
28,Cristiano Ronaldo,Manchester Utd,Saved,15.0,Right Foot,,Jadon Sancho,Pass (Live),Luke Shaw,Pass (Live),2021-10-16
29,Paul Pogba,Manchester Utd,Blocked,22.0,Right Foot,,Bruno Fernandes,Pass (Live),Jadon Sancho,Pass (Live),2021-10-16
29,Harry Maguire,Manchester Utd,Off Target,7.0,Head,,Bruno Fernandes,Pass (Dead),Paul Pogba,Shot,2021-10-16
31,Youri Tielemans,Leicester City,Goal,20.0,Right Foot,,Kelechi Iheanacho,Pass (Live),Kelechi Iheanacho,Tackle,2021-10-16
33,Cristiano Ronaldo,Manchester Utd,Blocked,20.0,Right Foot,,Bruno Fernandes,Pass (Live),Nemanja Matić,Pass (Live),2021-10-16
40,Kelechi Iheanacho,Leicester City,Off Target,20.0,Left Foot,,Youri Tielemans,Pass (Live),James Maddison,Pass (Live),2021-10-16
43,Bruno Fernandes,Manchester Utd,Blocked,33.0,Right Foot,,Nemanja Matić,Pass (Live),Nemanja Matić,Tackle,2021-10-16
46,Kelechi Iheanacho,Leicester City,Saved,17.0,Left Foot,,Youri Tielemans,Pass (Live),Youri Tielemans,Tackle,2021-10-16
48,Mason Greenwood,Manchester Utd,Off Target,19.0,Left Foot,,Jadon Sancho,Pass (Live),,,2021-10-16
50,Mason Greenwood,Manchester Utd,Off Target,21.0,Left Foot,,Cristiano Ronaldo,Pass (Live),Bruno Fernandes,Pass (Live),2021-10-16
54,James Maddison,Leicester City,Blocked,27.0,Right Foot,Free kick,Jamie Vardy,Fouled,Daniel Amartey,Pass (Live),2021-10-16
54,James Maddison,Leicester City,Off Target,26.0,Right Foot,Half volley,James Maddison,Shot,,,2021-10-16
55,Nemanja Matić,Manchester Utd,Off Target,32.0,Left Foot,Half volley,,,,,2021-10-16
55,Paul Pogba,Manchester Utd,Blocked,26.0,Right Foot,,Jadon Sancho,Pass (Live),Nemanja Matić,Pass (Live),2021-10-16
57,Youri Tielemans,Leicester City,Off Target,25.0,Left Foot,,Youri Tielemans,Fouled,Youri Tielemans,Dribble,2021-10-16
65,Mason Greenwood,Manchester Utd,Wayward,10.0,Left Foot,Back heel,Bruno Fernandes,Pass (Live),Paul Pogba,Pass (Live),2021-10-16
66,Youri Tielemans,Leicester City,Off Target,29.0,Right Foot,,,,,,2021-10-16
68,Bruno Fernandes,Manchester Utd,Off Target,25.0,Right Foot,,Paul Pogba,Pass (Live),Bruno Fernandes,Pass (Live),2021-10-16
75,Youri Tielemans,Leicester City,Saved to Post,21.0,Right Foot,,,,,,2021-10-16
78,Patson Daka,Leicester City,Saved,14.0,Right Foot,,Jamie Vardy,Pass (Live),Ayoze Pérez,Pass (Live),2021-10-16
78,Patson Daka,Leicester City,Saved,11.0,Right Foot,Half volley,,,,,2021-10-16
78,Çağlar Söyüncü,Leicester City,Goal,3.0,Left Foot,Open goal,Patson Daka,Shot,,,2021-10-16
82,Ricardo Pereira,Leicester City,Off Target,16.0,Right Foot,,Youri Tielemans,Pass (Live),Jamie Vardy,Pass (Live),2021-10-16
82,Marcus Rashford,Manchester Utd,Goal,16.0,Right Foot,,Victor Lindelöf,Pass (Live),Aaron Wan-Bissaka,Pass (Live),2021-10-16
83,Jamie Vardy,Leicester City,Goal,13.0,Right Foot,Half volley,Ayoze Pérez,Pass (Live),Timothy Castagne,Fouled,2021-10-16
85,Ricardo Pereira,Leicester City,Blocked,19.0,Left Foot,,,,,,2021-10-16
85,Ayoze Pérez,Leicester City,Saved,5.0,Right Foot,,Ricardo Pereira,Pass (Live),,,2021-10-16
85,Jamie Vardy,Leicester City,Blocked,11.0,Left Foot,Half volley,Ayoze Pérez,Shot,,,2021-10-16
85,Çağlar Söyüncü,Leicester City,Wayward,21.0,Left Foot,Volley,Jamie Vardy,Shot,,,2021-10-16
88,Jesse Lingard,Manchester Utd,Saved,22.0,Right Foot,,Bruno Fernandes,Pass (Live),Luke Shaw,Pass (Dead),2021-10-16
89,Cristiano Ronaldo,Manchester Utd,Off Target,8.0,Left Foot,Volley,Bruno Fernandes,Pass (Live),Jesse Lingard,Pass (Live),2021-10-16
90+1,Patson Daka,Leicester City,Goal,1.0,Right Foot,Open goal,,,,,2021-10-16
90+6,Scott McTominay,Manchester Utd,Saved,23.0,Right Foot,,Jesse Lingard,Pass (Live),Cristiano Ronaldo,Pass (Live),2021-10-16
5.0,Riyad Mahrez,Manchester City,Saved,27.0,Left Foot,,João Cancelo,Pass (Live),Phil Foden,Pass (Live),2021-10-16
12.0,Phil Foden,Manchester City,Saved,17.0,Left Foot,,Bernardo Silva,Pass (Live),João Cancelo,Pass (Live),2021-10-16
12.0,Bernardo Silva,Manchester City,Goal,3.0,Left Foot,,Phil Foden,Shot,,,2021-10-16
15.0,João Cancelo,Manchester City,Saved,4.0,Right Foot,Volley,Kevin De Bruyne,Pass (Live),Bernardo Silva,Pass (Live),2021-10-16
15.0,Riyad Mahrez,Manchester City,Blocked,12.0,Right Foot,,João Cancelo,Shot,,,2021-10-16
22.0,Maxwel Cornet,Burnley,Saved,18.0,Right Foot,,Dwight McNeil,Pass (Live),James Tarkowski,Pass (Live),2021-10-16
22.0,Maxwel Cornet,Burnley,Off Target,20.0,Left Foot,,Maxwel Cornet,Shot,,,2021-10-16
33.0,Riyad Mahrez,Manchester City,Off Target,17.0,Left Foot,,Aymeric Laporte,Pass (Live),João Cancelo,Pass (Live),2021-10-16
35.0,Josh Brownhill,Burnley,Off Target,12.0,Left Foot,,,,,,2021-10-16
40.0,Raheem Sterling,Manchester City,Blocked,10.0,Right Foot,Volley,Riyad Mahrez,Pass (Live),João Cancelo,Pass (Live),2021-10-16
44.0,Bernardo Silva,Manchester City,Off Target,14.0,Left Foot,,Kevin De Bruyne,Pass (Live),Aymeric Laporte,Pass (Live),2021-10-16
46.0,Bernardo Silva,Manchester City,Off Target,17.0,Left Foot,,,,,,2021-10-16
50.0,Riyad Mahrez,Manchester City,Woodwork,14.0,Left Foot,,Bernardo Silva,Pass (Live),Raheem Sterling,Pass (Live),2021-10-16
51.0,Phil Foden,Manchester City,Saved,15.0,Left Foot,Lob,Bernardo Silva,Pass (Live),Aymeric Laporte,Pass (Live),2021-10-16
55.0,João Cancelo,Manchester City,Blocked,23.0,Right Foot,,Riyad Mahrez,Pass (Live),Rodri,Pass (Live),2021-10-16
57.0,Ashley Barnes,Burnley,Saved,16.0,Right Foot,,,,,,2021-10-16
59.0,Aymeric Laporte,Manchester City,Off Target,14.0,Left Foot,Half volley,Kevin De Bruyne,Pass (Live),Phil Foden,Pass (Live),2021-10-16
60.0,Ashley Barnes,Burnley,Blocked,7.0,Right Foot,Volley,Matthew Lowton,Pass (Live),James Tarkowski,Pass (Live),2021-10-16
63.0,João Cancelo,Manchester City,Blocked,17.0,Right Foot,,Raheem Sterling,Pass (Live),Raheem Sterling,Dribble,2021-10-16
70.0,Kevin De Bruyne,Manchester City,Goal,13.0,Left Foot,,,,,,2021-10-16
75.0,Ashley Barnes,Burnley,Off Target,20.0,Right Foot,,Ashley Westwood,Pass (Live),,,2021-10-16
79.0,Chris Wood,Burnley,Woodwork,8.0,Right Foot,Half volley,Nathan Collins,Pass (Live),Dwight McNeil,Pass (Dead),2021-10-16
81.0,Phil Foden,Manchester City,Blocked,16.0,Left Foot,,Kevin De Bruyne,Pass (Live),,,2021-10-16
14.0,Nathan Redmond,Southampton,Off Target,24.0,Right Foot,,Mohamed Elyounoussi,Pass (Live),Nathan Redmond,Pass (Live),2021-10-16
18.0,Armando Broja,Southampton,Off Target,6.0,Head,,Nathan Redmond,Pass (Dead),Moussa Djenepo,Pass (Live),2021-10-16
19.0,Nathan Redmond,Southampton,Saved,25.0,Right Foot,,Moussa Djenepo,Pass (Live),Nathan Redmond,Pass (Live),2021-10-16
20.0,Armando Broja,Southampton,Blocked,7.0,Head,,Nathan Redmond,Pass (Dead),Nathan Redmond,Shot,2021-10-16
20.0,Mohamed Elyounoussi,Southampton,Off Target,1.0,Head,"Open goal, Diving header",Armando Broja,Shot,,,2021-10-16
23.0,Moussa Djenepo,Southampton,Off Target,22.0,Right Foot,Half volley,,,,,2021-10-16
26.0,Oriol Romeu,Southampton,Blocked,20.0,Left Foot,,Armando Broja,Pass (Live),Nathan Redmond,Pass (Live),2021-10-16
26.0,Romain Perraud,Southampton,Off Target,29.0,Right Foot,,Oriol Romeu,Shot,,,2021-10-16
28.0,Valentino Livramento,Southampton,Off Target,26.0,Left Foot,,Nathan Redmond,Pass (Live),Valentino Livramento,Pass (Live),2021-10-16
30.0,Mohammed Salisu,Southampton,Blocked,31.0,Left Foot,,Valentino Livramento,Pass (Live),Ibrahima Diallo,Pass (Live),2021-10-16
33.0,Armando Broja,Southampton,Saved,11.0,Left Foot,,,,,,2021-10-16
44.0,Mohamed Elyounoussi,Southampton,Off Target,8.0,Head,,Moussa Djenepo,Pass (Live),Romain Perraud,Pass (Live),2021-10-16
45.0,Tyler Roberts,Leeds United,Off Target,33.0,Right Foot,,Mateusz Klich,Pass (Live),,,2021-10-16
47.0,Moussa Djenepo,Southampton,Saved,19.0,Right Foot,Deflected,Nathan Redmond,Pass (Live),Mohamed Elyounoussi,Pass (Live),2021-10-16
51.0,Jack Harrison,Leeds United,Blocked,17.0,Right Foot,,Jack Harrison,Dribble,Tyler Roberts,Pass (Live),2021-10-16
53.0,Armando Broja,Southampton,Goal,11.0,Right Foot,,Nathan Redmond,Pass (Live),Moussa Djenepo,Pass (Live),2021-10-16
62.0,Mohamed Elyounoussi,Southampton,Off Target,23.0,Right Foot,,Nathan Redmond,Pass (Live),Ibrahima Diallo,Pass (Live),2021-10-16
68.0,Daniel James,Leeds United,Off Target,17.0,Left Foot,Half volley,,,,,2021-10-16
72.0,Nathan Redmond,Southampton,Blocked,22.0,Right Foot,Free kick,Mohamed Elyounoussi,Fouled,,,2021-10-16
73.0,Armando Broja,Southampton,Off Target,15.0,Right Foot,,Mohammed Salisu,Pass (Live),Oriol Romeu,Pass (Live),2021-10-16
79.0,Mohammed Salisu,Southampton,Wayward,7.0,Head,,Nathan Redmond,Pass (Dead),,,2021-10-16
85.0,Nathan Redmond,Southampton,Off Target,25.0,Right Foot,,Stuart Armstrong,Pass (Live),Oriol Romeu,Pass (Live),2021-10-16
2,Emi Buendía,Aston Villa,Off Target,23.0,Right Foot,,Ollie Watkins,Pass (Live),Douglas Luiz,Pass (Live),2021-10-16
4,Hwang Hee-chan,Wolves,Blocked,15.0,Right Foot,,Leander Dendoncker,Pass (Live),,,2021-10-16
6,Matty Cash,Aston Villa,Saved,23.0,Right Foot,Deflected,John McGinn,Pass (Live),Ollie Watkins,Pass (Live),2021-10-16
12,Ezri Konsa,Aston Villa,Saved,9.0,Head,,Matt Targett,Pass (Live),John McGinn,Pass (Live),2021-10-16
14,John McGinn,Aston Villa,Off Target,32.0,Left Foot,Half volley,Douglas Luiz,Pass (Live),,,2021-10-16
22,Emi Buendía,Aston Villa,Off Target,13.0,Right Foot,Volley,Matty Cash,Pass (Live),Axel Tuanzebe,Pass (Live),2021-10-16
23,Douglas Luiz,Aston Villa,Off Target,24.0,Right Foot,Half volley,Matty Cash,Pass (Live),,,2021-10-16
27,Danny Ings,Aston Villa,Saved,16.0,Right Foot,,Emi Buendía,Pass (Live),John McGinn,Pass (Live),2021-10-16
31,Adama Traoré,Wolves,Saved,16.0,Right Foot,,Adama Traoré,Fouled,Adama Traoré,Dribble,2021-10-16
42,Max Kilman,Wolves,Off Target,8.0,Head,,João Moutinho,Pass (Live),Leander Dendoncker,Pass (Live),2021-10-16
44,Matty Cash,Aston Villa,Off Target,19.0,Left Foot,Half volley,Ollie Watkins,Pass (Live),Emi Buendía,Pass (Live),2021-10-16
48,Danny Ings,Aston Villa,Goal,10.0,Head,,John McGinn,Pass (Live),Matty Cash,Pass (Live),2021-10-16
54,Adama Traoré,Wolves,Blocked,20.0,Left Foot,,Nélson Semedo,Pass (Live),Rúben Neves,Pass (Live),2021-10-16
55,Ollie Watkins,Aston Villa,Blocked,12.0,Right Foot,,,,,,2021-10-16
56,Leander Dendoncker,Wolves,Off Target,31.0,Right Foot,,João Moutinho,Pass (Live),Rúben Neves,Pass (Live),2021-10-16
65,Matty Cash,Aston Villa,Off Target,17.0,Left Foot,,John McGinn,Pass (Live),John McGinn,Fouled,2021-10-16
68,Ollie Watkins,Aston Villa,Blocked,21.0,Right Foot,,,,,,2021-10-16
68,John McGinn,Aston Villa,Goal,23.0,Left Foot,"Deflected, Half volley",Ollie Watkins,Shot,,,2021-10-16
80,Romain Saïss,Wolves,Goal,5.0,Left Foot,Open goal,Daniel Podence,Pass (Live),Rúben Neves,Pass (Live),2021-10-16
85,Max Kilman,Wolves,Woodwork,6.0,Head,,Fábio Silva,Pass (Live),Daniel Podence,Pass (Live),2021-10-16
85,Conor Coady,Wolves,Goal,4.0,Other,Open goal,Leander Dendoncker,Pass (Live),Adama Traoré,Pass (Live),2021-10-16
90,Danny Ings,Aston Villa,Off Target,9.0,Head,,John McGinn,Pass (Dead),,,2021-10-16
90+5,Rúben Neves,Wolves,Goal,25.0,Right Foot,"Free kick, Deflected",Adama Traoré,Fouled,Leander Dendoncker,Pass (Live),2021-10-16
4,Leandro Trossard,Brighton,Blocked,11.0,Left Foot,Half volley,Marc Cucurella,Pass (Live),Adam Lallana,Pass (Live),2021-10-16
9,Shane Duffy,Brighton,Off Target,10.0,Head,,Pascal Groß,Pass (Dead),,,2021-10-16
14,Josh Sargent,Norwich City,Blocked,23.0,Right Foot,,Ben Gibson,Pass (Live),Kenny McLean,Pass (Live),2021-10-16
14,Mathias Normann,Norwich City,Blocked,20.0,Left Foot,,Mathias Normann,Fouled,Mathias Normann,Dribble,2021-10-16
21,Adam Lallana,Brighton,Saved,19.0,Left Foot,Half volley,,,,,2021-10-16
29,Ozan Kabak,Norwich City,Blocked,21.0,Right Foot,,Josh Sargent,Pass (Live),Mathias Normann,Pass (Live),2021-10-16
29,Grant Hanley,Norwich City,Saved,11.0,Head,,Dimitris Giannoulis,Pass (Live),Ozan Kabak,Shot,2021-10-16
34,Jakub Moder,Brighton,Blocked,16.0,Left Foot,,Neal Maupay,Pass (Live),Pascal Groß,Pass (Live),2021-10-16
35,Leandro Trossard,Brighton,Saved to Post,17.0,Left Foot,Volley,Neal Maupay,Pass (Live),Pascal Groß,Pass (Live),2021-10-16
43,Mathias Normann,Norwich City,Off Target,25.0,Right Foot,Free kick,Josh Sargent,Fouled,Dimitris Giannoulis,Pass (Live),2021-10-16
44,Pierre Lees-Melou,Norwich City,Off Target,30.0,Right Foot,,Josh Sargent,Pass (Live),Teemu Pukki,Pass (Live),2021-10-16
44,Josh Sargent,Norwich City,Blocked,26.0,Right Foot,,Teemu Pukki,Pass (Live),Pierre Lees-Melou,Pass (Live),2021-10-16
47,Pascal Groß,Brighton,Blocked,17.0,Right Foot,Volley,Marc Cucurella,Pass (Live),Dan Burn,Pass (Live),2021-10-16
53,Leandro Trossard,Brighton,Off Target,19.0,Right Foot,,,,,,2021-10-16
58,Jakub Moder,Brighton,Off Target,22.0,Right Foot,Volley,,,,,2021-10-16
61,Mathias Normann,Norwich City,Blocked,30.0,Right Foot,,Josh Sargent,Pass (Live),Kenny McLean,Pass (Live),2021-10-16
61,Pierre Lees-Melou,Norwich City,Blocked,19.0,Right Foot,Volley,Mathias Normann,Shot,,,2021-10-16
64,Teemu Pukki,Norwich City,Off Target,7.0,Right Foot,Lob,Max Aarons,Pass (Live),Pierre Lees-Melou,Pass (Live),2021-10-16
67,Lewis Dunk,Brighton,Saved,10.0,Head,,Pascal Groß,Pass (Dead),Neal Maupay,Fouled,2021-10-16
68,Josh Sargent,Norwich City,Blocked,20.0,Right Foot,,Pierre Lees-Melou,Pass (Live),Pierre Lees-Melou,Tackle,2021-10-16
70,Pierre Lees-Melou,Norwich City,Blocked,26.0,Right Foot,,,,,,2021-10-16
79,Ben Gibson,Norwich City,Saved,30.0,Left Foot,,Dimitris Giannoulis,Pass (Live),Pierre Lees-Melou,Pass (Live),2021-10-16
81,Pascal Groß,Brighton,Blocked,16.0,Right Foot,Half volley,Solly March,Pass (Live),Jakub Moder,Pass (Live),2021-10-16
81,Teemu Pukki,Norwich City,Blocked,17.0,Right Foot,,Milot Rashica,Pass (Live),Teemu Pukki,Pass (Live),2021-10-16
87,Neal Maupay,Brighton,Off Target,6.0,Right Foot,,Solly March,Pass (Live),Solly March,Dribble,2021-10-16
90+3,Grant Hanley,Norwich City,Off Target,6.0,Head,,Milot Rashica,Pass (Dead),Adam Idah,Pass (Live),2021-10-16
17,Romelu Lukaku,Chelsea,Off Target,27.0,Left Foot,Free kick,Mateo Kovačić,Fouled,Ben Chilwell,Pass (Live),2021-10-16
21,Ivan Toney,Brentford,Blocked,7.0,Head,,Mathias Jørgensen,Pass (Live),Mathias Jensen,Pass (Live),2021-10-16
22,Bryan Mbeumo,Brentford,Woodwork,9.0,Left Foot,Volley,Christian Nørgaard,Pass (Live),Mathias Jørgensen,Pass (Live),2021-10-16
27,Mateo Kovačić,Chelsea,Blocked,28.0,Right Foot,Free kick,Mateo Kovačić,Fouled,Ruben Loftus-Cheek,Interception,2021-10-16
37,Timo Werner,Chelsea,Off Target,19.0,Right Foot,,Ben Chilwell,Pass (Live),Trevoh Chalobah,Pass (Live),2021-10-16
45,Ben Chilwell,Chelsea,Goal,18.0,Left Foot,Half volley,N'Golo Kanté,Pass (Live),César Azpilicueta,Pass (Live),2021-10-16
48,Mateo Kovačić,Chelsea,Off Target,25.0,Right Foot,Half volley,N'Golo Kanté,Pass (Live),,,2021-10-16
73,Ivan Toney,Brentford,Saved,10.0,Right Foot,Volley,Ethan Pinnock,Pass (Live),Mathias Jørgensen,Pass (Dead),2021-10-16
75,Bryan Mbeumo,Brentford,Woodwork,16.0,Left Foot,Half volley,Marcus Forss,Pass (Live),Christian Nørgaard,Pass (Live),2021-10-16
75,Marcus Forss,Brentford,Blocked,14.0,Left Foot,Half volley,Bryan Mbeumo,Shot,,,2021-10-16
79,Marcus Forss,Brentford,Blocked,19.0,Left Foot,,,,,,2021-10-16
80,Saman Ghoddos,Brentford,Wayward,19.0,Right Foot,Volley,,,,,2021-10-16
83,Saman Ghoddos,Brentford,Saved,11.0,Right Foot,Half volley,,,,,2021-10-16
84,Christian Nørgaard,Brentford,Blocked,10.0,Left Foot,,Christian Nørgaard,Dribble,,,2021-10-16
84,Ethan Pinnock,Brentford,Saved,6.0,Head,,Rico Henry,Pass (Live),Mathias Jørgensen,Pass (Dead),2021-10-16
85,Christian Nørgaard,Brentford,Blocked,15.0,Right Foot,Half volley,,,,,2021-10-16
86,Pontus Jansson,Brentford,Saved,5.0,Right Foot,Half volley,Ethan Pinnock,Pass (Live),Saman Ghoddos,Pass (Live),2021-10-16
87,Christian Nørgaard,Brentford,Wayward,26.0,Right Foot,Volley,,,,,2021-10-16
90+3,Christian Nørgaard,Brentford,Saved to Post,10.0,Right Foot,Overhead kick,Ethan Pinnock,Pass (Live),Mathias Jensen,Pass (Live),2021-10-16
90+3,Christian Nørgaard,Brentford,Blocked,9.0,Head,,Mathias Jensen,Pass (Live),Saman Ghoddos,Pass (Live),2021-10-16
90+4,Saman Ghoddos,Brentford,Blocked,25.0,Right Foot,Volley,,,,,2021-10-16
90+6,Christian Nørgaard,Brentford,Blocked,9.0,Head,,,,,,2021-10-16
11,Saïd Benrahma,West Ham,Off Target,18.0,Right Foot,Half volley,,,,,2021-10-17
17,Abdoulaye Doucouré,Everton,Off Target,26.0,Right Foot,Half volley,,,,,2021-10-17
20,Pablo Fornals,West Ham,Blocked,12.0,Right Foot,Volley,Jarrod Bowen,Pass (Live),Saïd Benrahma,Pass (Live),2021-10-17
22,Alex Iwobi,Everton,Blocked,18.0,Right Foot,Half volley,Abdoulaye Doucouré,Pass (Live),Lucas Digne,Pass (Live),2021-10-17
22,Alex Iwobi,Everton,Blocked,14.0,Right Foot,,Alex Iwobi,Shot,,,2021-10-17
33,Abdoulaye Doucouré,Everton,Off Target,9.0,Head,,Andros Townsend,Pass (Live),Abdoulaye Doucouré,Pass (Live),2021-10-17
34,Jarrod Bowen,West Ham,Saved,16.0,Left Foot,,Tomáš Souček,Pass (Live),Saïd Benrahma,Pass (Live),2021-10-17
37,Demarai Gray,Everton,Saved,25.0,Left Foot,,Abdoulaye Doucouré,Pass (Live),,,2021-10-17
39,Jarrod Bowen,West Ham,Blocked,20.0,Right Foot,Half volley,,,,,2021-10-17
39,Pablo Fornals,West Ham,Blocked,18.0,Right Foot,Half volley,Jarrod Bowen,Shot,,,2021-10-17
40,Pablo Fornals,West Ham,Off Target,17.0,Right Foot,,Ben Johnson,Pass (Live),Michail Antonio,Pass (Live),2021-10-17
42,Michail Antonio,West Ham,Off Target,25.0,Right Foot,,Declan Rice,Pass (Live),Pablo Fornals,Pass (Live),2021-10-17
50,Alex Iwobi,Everton,Blocked,13.0,Right Foot,,Lucas Digne,Pass (Live),Alex Iwobi,Pass (Live),2021-10-17
52,Salomón Rondón,Everton,Off Target,10.0,Head,,Andros Townsend,Pass (Live),Alex Iwobi,Pass (Live),2021-10-17
55,Séamus Coleman,Everton,Off Target,18.0,Left Foot,,Andros Townsend,Pass (Live),Salomón Rondón,Pass (Live),2021-10-17
56,Saïd Benrahma,West Ham,Blocked,20.0,Right Foot,,Michail Antonio,Pass (Live),Angelo Ogbonna,Pass (Live),2021-10-17
62,Ben Godfrey,Everton,Blocked,16.0,Left Foot,Volley,Andros Townsend,Pass (Live),Demarai Gray,Pass (Live),2021-10-17
63,Alex Iwobi,Everton,Off Target,23.0,Right Foot,Half volley,,,,,2021-10-17
67,Michail Antonio,West Ham,Blocked,14.0,Right Foot,,Saïd Benrahma,Pass (Live),Pablo Fornals,Pass (Live),2021-10-17
73,Salomón Rondón,Everton,Saved,9.0,Head,,Andros Townsend,Pass (Live),Alex Iwobi,Pass (Live),2021-10-17
73,Michail Antonio,West Ham,Saved,2.0,Head,,,,,,2021-10-17
74,Angelo Ogbonna,West Ham,Goal,3.0,Head,,Jarrod Bowen,Pass (Dead),Michail Antonio,Shot,2021-10-17
75,Saïd Benrahma,West Ham,Blocked,22.0,Right Foot,,Michail Antonio,Pass (Live),Tomáš Souček,Tackle,2021-10-17
82,Ben Godfrey,Everton,Off Target,10.0,Right Foot,Volley,Demarai Gray,Pass (Dead),Séamus Coleman,Pass (Live),2021-10-17
86,Angelo Ogbonna,West Ham,Blocked,12.0,Left Foot,Half volley,,,,,2021-10-17
87,Declan Rice,West Ham,Off Target,24.0,Right Foot,Half volley,,,,,2021-10-17
89,Jarrod Bowen,West Ham,Saved,14.0,Left Foot,,Michail Antonio,Pass (Live),Pablo Fornals,Pass (Live),2021-10-17
90+1,Salomón Rondón,Everton,Wayward,12.0,Head,,Lucas Digne,Pass (Live),Demarai Gray,Pass (Live),2021-10-17
90+1,Demarai Gray,Everton,Blocked,14.0,Right Foot,Half volley,Andros Townsend,Tackle,,,2021-10-17
90+5,Michail Antonio,West Ham,Blocked,11.0,Right Foot,,Declan Rice,Pass (Live),Manuel Lanzini,Pass (Live),2021-10-17
90+5,Ben Godfrey,Everton,Off Target,8.0,Head,,Demarai Gray,Pass (Dead),,,2021-10-17
2,Callum Wilson,Newcastle Utd,Goal,7.0,Head,Diving header,Javier Manquillo,Pass (Live),Allan Saint-Maximin,Pass (Live),2021-10-17
9,Ciaran Clark,Newcastle Utd,Off Target,10.0,Head,,Callum Wilson,Pass (Live),Matt Ritchie,Pass (Dead),2021-10-17
13,Tanguy Ndombele,Tottenham,Blocked,23.0,Left Foot,Half volley,Lucas Moura,Pass (Live),Tanguy Ndombele,Pass (Live),2021-10-17
13,Pierre Højbjerg,Tottenham,Saved,33.0,Right Foot,,Tanguy Ndombele,Shot,,,2021-10-17
17,Tanguy Ndombele,Tottenham,Goal,17.0,Right Foot,,Sergio Reguilón,Pass (Live),Eric Dier,Pass (Live),2021-10-17
20,Jamaal Lascelles,Newcastle Utd,Off Target,9.0,Head,,Matt Ritchie,Pass (Dead),,,2021-10-17
22,Harry Kane,Tottenham,Goal,17.0,Right Foot,Lob,Pierre Højbjerg,Pass (Live),Oliver Skipp,Pass (Live),2021-10-17
36,Tanguy Ndombele,Tottenham,Blocked,16.0,Right Foot,,Son Heung-min,Pass (Live),,,2021-10-17
39,Lucas Moura,Tottenham,Woodwork,7.0,Head,,Son Heung-min,Pass (Dead),,,2021-10-17
43,Lucas Moura,Tottenham,Blocked,24.0,Right Foot,,Son Heung-min,Pass (Live),Harry Kane,Pass (Live),2021-10-17
45,Son Heung-min,Tottenham,Goal,6.0,Left Foot,Open goal,Harry Kane,Pass (Live),Lucas Moura,Pass (Live),2021-10-17
45+2,Allan Saint-Maximin,Newcastle Utd,Off Target,19.0,Right Foot,,Joelinton,Pass (Live),Joe Willock,Pass (Live),2021-10-17
49,Eric Dier,Tottenham,Blocked,7.0,Other,,Son Heung-min,Pass (Dead),,,2021-10-17
49,Lucas Moura,Tottenham,Blocked,16.0,Left Foot,Volley,Eric Dier,Shot,,,2021-10-17
49,Tanguy Ndombele,Tottenham,Blocked,11.0,Left Foot,,Tanguy Ndombele,Dribble,Lucas Moura,Shot,2021-10-17
60,Tanguy Ndombele,Tottenham,Off Target,17.0,Right Foot,,Harry Kane,Pass (Live),Lucas Moura,Pass (Live),2021-10-17
74,Allan Saint-Maximin,Newcastle Utd,Off Target,25.0,Right Foot,,Callum Wilson,Pass (Live),Jamaal Lascelles,Pass (Live),2021-10-17
80,Lucas Moura,Tottenham,Off Target,29.0,Right Foot,,Son Heung-min,Pass (Live),Sergio Reguilón,Pass (Live),2021-10-17
82,Ryan Fraser,Newcastle Utd,Blocked,18.0,Right Foot,Half volley,Allan Saint-Maximin,Pass (Live),,,2021-10-17
82,Jacob Murphy,Newcastle Utd,Blocked,27.0,Right Foot,,Jamaal Lascelles,Pass (Live),Ryan Fraser,Pass (Live),2021-10-17
85,Harry Kane,Tottenham,Blocked,24.0,Right Foot,Free kick,Sergio Reguilón,Fouled,Son Heung-min,Pass (Live),2021-10-17
8,Nicolas Pépé,Arsenal,Saved,19.0,Left Foot,,Takehiro Tomiyasu,Pass (Live),Nicolas Pépé,Pass (Live),2021-10-18
8,Pierre-Emerick Aubameyang,Arsenal,Goal,4.0,Left Foot,"Open goal, Volley",Nicolas Pépé,Shot,,,2021-10-18
16,Nicolas Pépé,Arsenal,Wayward,16.0,Right Foot,Half volley,Emile Smith Rowe,Pass (Live),Gabriel Dos Santos,Tackle,2021-10-18
22,Emile Smith Rowe,Arsenal,Saved,26.0,Right Foot,,Bukayo Saka,Pass (Live),,,2021-10-18
23,Conor Gallagher,Crystal Palace,Saved,19.0,Left Foot,,Odsonne Édouard,Pass (Live),Conor Gallagher,Pass (Live),2021-10-18
